fecha_hora,codigo,h,t,pr,vv,vv_max,dv,dv_max,p,calidad
2019-01-01 00:00:00,198.0,75.6,19.27,847.91,0.72,1.05,154.5,156.57,0.0,1.0
2019-01-01 01:00:00,198.0,78.3,18.71,847.41,0.72,1.07,158.07,183.68,0.0,1.0
2019-01-01 02:00:00,198.0,80.35,18.07,846.96,0.6,0.84,178.12,186.75,0.0,1.0
2019-01-01 03:00:00,198.0,82.28,17.52,847.0,0.61,0.84,156.17,188.23,0.0,1.0
2019-01-01 04:00:00,198.0,83.37,17.08,847.55,0.73,1.11,190.08,190.72,0.0,1.0
2019-01-01 05:00:00,198.0,84.03,16.72,848.05,0.73,1.09,181.4,187.33,0.0,1.0
2019-01-01 06:00:00,198.0,84.37,16.39,848.59,0.68,1.04,178.62,187.23,0.0,1.0
2019-01-01 07:00:00,198.0,78.35,18.08,849.09,0.62,1.08,186.38,204.3,0.0,1.0
2019-01-01 08:00:00,198.0,65.79,21.4,849.09,0.64,1.23,143.3,166.93,0.0,1.0
2019-01-01 09:00:00,198.0,55.3,23.61,848.55,0.89,1.78,144.72,127.98,0.0,1.0
2019-01-01 10:00:00,198.0,48.44,25.81,847.74,0.99,2.04,125.25,131.8,0.0,1.0
2019-01-01 11:00:00,198.0,37.02,28.62,846.33,1.91,3.6,126.88,150.45,0.0,1.0
2019-01-01 12:00:00,198.0,26.9,30.87,845.22,3.0,6.81,133.47,167.2,0.0,1.0
2019-01-01 13:00:00,198.0,26.9,31.32,844.3,2.05,5.32,103.5,130.58,0.0,1.0
2019-01-01 14:00:00,198.0,28.35,31.41,843.78,1.99,4.79,86.5,98.07,0.0,1.0
2019-01-01 15:00:00,198.0,29.92,31.03,843.59,1.66,3.96,139.17,168.63,0.0,1.0
2019-01-01 16:00:00,198.0,30.17,30.25,843.86,1.84,3.68,116.78,134.38,0.0,2605.52
2019-01-01 17:00:00,198.0,32.44,29.51,844.44,1.17,2.23,212.27,211.62,0.0,2605.52
2019-01-01 18:00:00,198.0,47.24,26.75,845.32,1.61,2.92,176.73,199.67,0.0,2605.52
2019-01-01 19:00:00,198.0,59.97,24.75,846.52,1.4,3.34,73.97,93.6,0.0,1.0
2019-01-01 20:00:00,198.0,67.76,23.47,847.51,1.44,2.8,131.98,123.67,0.0,1.0
2019-01-01 21:00:00,198.0,75.56,22.61,848.19,1.47,2.63,204.62,231.58,0.0,1.0
2019-01-01 22:00:00,198.0,80.47,21.71,848.45,1.14,2.1,117.37,141.5,0.0,1.0
2019-01-01 23:00:00,198.0,82.12,21.08,848.42,0.91,1.5,124.15,147.82,0.0,1.0
2019-01-02 00:00:00,198.0,80.62,20.09,847.89,0.54,0.94,86.73,108.23,0.0,1.0
2019-01-02 01:00:00,198.0,83.1,19.04,847.23,0.48,0.67,155.8,198.57,0.0,1.0
2019-01-02 02:00:00,198.0,83.45,18.51,846.9,0.49,0.72,165.85,211.38,0.0,1.0
2019-01-02 03:00:00,198.0,84.9,18.11,846.99,0.54,0.82,169.78,183.02,0.0,1.0
2019-01-02 04:00:00,198.0,84.31,17.66,847.34,0.48,0.7,172.28,211.18,0.0,1.0
2019-01-02 05:00:00,198.0,85.67,17.25,847.88,0.66,0.96,184.67,185.63,0.0,1.0
2019-01-02 06:00:00,198.0,86.48,16.99,848.59,0.76,1.15,174.47,179.55,0.0,1.0
2019-01-02 07:00:00,198.0,80.4,18.73,849.45,0.73,1.25,165.33,171.32,0.0,1.0
2019-01-02 08:00:00,198.0,70.75,21.28,849.71,0.86,1.56,141.17,167.9,0.0,1.0
2019-01-02 09:00:00,198.0,64.13,23.15,849.35,0.86,1.92,83.5,116.82,0.0,1.0
2019-01-02 10:00:00,198.0,54.12,25.59,848.42,0.88,1.92,155.85,173.6,0.0,1.0
2019-01-02 11:00:00,198.0,43.79,27.49,847.34,1.43,2.85,119.2,143.6,0.0,1.0
2019-01-02 12:00:00,198.0,32.11,29.54,846.16,2.82,5.18,68.78,70.08,0.0,1.0
2019-01-02 13:00:00,198.0,28.11,30.66,845.03,2.5,5.09,63.98,69.75,0.0,1.0
2019-01-02 14:00:00,198.0,26.37,30.84,844.47,2.27,4.69,60.58,71.52,0.0,1.0
2019-01-02 15:00:00,198.0,24.81,31.5,844.32,1.18,2.88,151.27,176.22,0.0,2605.52
2019-01-02 16:00:00,198.0,29.21,30.55,844.6,1.59,3.21,131.22,162.7,0.0,1.0
2019-01-02 17:00:00,198.0,30.92,28.97,845.02,1.29,2.64,147.78,143.85,0.0,1.0
2019-01-02 18:00:00,198.0,39.61,26.57,845.98,1.32,2.42,122.12,123.45,0.0,1.0
2019-01-02 19:00:00,198.0,49.3,24.82,847.16,1.23,2.42,90.87,89.75,0.0,1.0
2019-01-02 20:00:00,198.0,60.68,23.33,848.15,2.35,3.99,24.93,58.77,0.0,1.0
2019-01-02 21:00:00,198.0,67.74,22.48,848.59,1.77,3.11,169.92,205.5,0.0,1.0
2019-01-02 22:00:00,198.0,71.15,21.71,848.87,1.74,2.88,29.93,36.88,0.0,1.0
2019-01-02 23:00:00,198.0,74.36,20.86,848.76,1.24,2.25,49.57,44.63,0.0,1.0
2019-01-03 00:00:00,198.0,75.45,20.22,848.46,0.73,1.38,137.02,132.63,0.0,1.0
2019-01-03 01:00:00,198.0,76.85,19.1,847.98,0.53,0.78,116.97,117.83,0.0,2605.52
2019-01-03 02:00:00,198.0,79.51,18.47,847.94,0.55,0.9,172.68,176.5,0.0,1.0
2019-01-03 03:00:00,198.0,80.39,18.11,848.18,0.67,1.09,182.58,181.12,0.0,1.0
2019-01-03 04:00:00,198.0,81.31,17.63,848.64,0.79,1.16,189.98,221.05,0.0,1.0
2019-01-03 05:00:00,198.0,81.7,17.27,849.29,0.78,1.23,177.87,198.93,0.0,1.0
2019-01-03 06:00:00,198.0,80.91,17.13,850.01,0.82,1.22,171.62,190.6,0.0,1.0
2019-01-03 07:00:00,198.0,73.21,19.08,850.95,0.7,1.26,143.45,172.5,0.0,1.0
2019-01-03 08:00:00,198.0,63.94,21.65,851.24,0.81,1.58,104.18,109.35,0.0,1.0
2019-01-03 09:00:00,198.0,57.92,23.37,850.69,1.21,2.35,87.93,102.85,0.0,1.0
2019-01-03 10:00:00,198.0,44.79,26.33,849.73,2.14,3.75,154.1,196.43,0.0,1.0
2019-01-03 11:00:00,198.0,36.01,28.47,848.67,1.78,3.69,155.05,156.27,0.0,1.0
2019-01-03 12:00:00,198.0,34.61,29.12,847.99,1.92,3.94,138.68,165.48,0.0,1.0
2019-01-03 13:00:00,198.0,35.66,29.22,847.38,2.25,4.46,122.33,152.28,0.0,1.0
2019-01-03 14:00:00,198.0,34.51,29.81,846.63,1.96,3.86,73.35,82.82,0.0,2605.52
2019-01-03 15:00:00,198.0,34.14,29.61,846.3,2.49,5.05,116.08,125.53,0.0,1.0
2019-01-03 16:00:00,198.0,37.28,28.46,846.74,1.72,3.41,172.43,188.48,0.0,1.0
2019-01-03 17:00:00,198.0,40.28,27.68,847.44,1.63,2.86,173.73,182.68,0.0,1.0
2019-01-03 18:00:00,198.0,44.67,26.0,848.31,1.03,1.83,143.38,162.18,0.0,1.0
2019-01-03 19:00:00,198.0,50.78,24.2,849.02,0.67,1.24,118.78,147.92,0.0,1.0
2019-01-03 20:00:00,198.0,55.52,22.84,849.5,0.56,0.96,112.65,133.55,0.0,1.0
2019-01-03 21:00:00,198.0,56.73,22.36,850.01,0.88,1.51,150.22,173.23,0.0,2605.52
2019-01-03 22:00:00,198.0,58.97,21.93,850.42,0.83,1.5,138.63,158.72,0.0,1.0
