fecha_hora,codigo,h,t,pr,vv,vv_max,dv,dv_max,p,calidad
2019-01-01 00:00:00,197.0,85.82,17.79,841.06,1.36,1.6,338.43,315.62,0.0,5210.03
2019-01-01 01:00:00,197.0,88.51,17.35,840.57,1.27,1.56,297.63,310.08,0.0,1.0
2019-01-01 02:00:00,197.0,91.14,16.74,840.12,1.08,1.36,293.62,283.68,0.0,2605.52
2019-01-01 03:00:00,197.0,93.68,16.08,840.1,1.4,1.67,306.97,302.22,0.0,1.0
2019-01-01 04:00:00,197.0,95.81,15.67,840.6,1.47,1.74,308.55,310.28,0.0,1.0
2019-01-01 05:00:00,197.0,96.09,15.44,841.14,1.17,1.53,275.05,282.83,0.0,1.0
2019-01-01 06:00:00,197.0,96.5,15.19,841.64,1.16,1.52,318.57,315.65,0.0,1.0
2019-01-01 07:00:00,197.0,82.23,18.37,842.03,0.65,0.9,301.85,293.9,0.0,1.0
2019-01-01 08:00:00,197.0,69.69,21.14,842.04,0.98,1.71,177.77,196.98,0.0,1.0
2019-01-01 09:00:00,197.0,60.5,23.23,841.56,0.88,1.56,169.13,180.68,0.0,1.0
2019-01-01 10:00:00,197.0,50.05,25.96,840.78,1.11,1.88,249.23,219.67,0.0,5210.03
2019-01-01 11:00:00,197.0,37.86,28.15,839.63,1.09,2.25,130.4,150.33,0.0,1.0
2019-01-01 12:00:00,197.0,28.75,30.47,838.51,3.54,6.41,169.73,176.45,0.0,1.0
2019-01-01 13:00:00,197.0,26.78,31.33,837.71,3.22,5.92,165.2,197.48,0.0,1.0
2019-01-01 14:00:00,197.0,28.21,31.03,837.17,2.63,4.79,150.2,165.48,0.0,1.0
2019-01-01 15:00:00,197.0,31.63,29.98,836.97,1.82,3.4,151.15,165.4,0.0,1.0
2019-01-01 16:00:00,197.0,33.85,29.3,837.21,1.23,2.28,206.55,227.93,0.0,2605.52
2019-01-01 17:00:00,197.0,49.0,25.64,837.79,1.88,2.37,310.18,299.17,0.0,1.0
2019-01-01 18:00:00,197.0,59.24,24.6,838.72,1.36,2.36,251.83,247.12,0.0,1.0
2019-01-01 19:00:00,197.0,71.8,23.63,839.93,1.38,3.03,139.87,158.38,0.0,1.0
2019-01-01 20:00:00,197.0,79.11,22.59,840.89,1.12,2.29,135.15,147.0,0.0,2605.52
2019-01-01 21:00:00,197.0,84.03,21.49,841.5,1.58,3.21,142.1,150.35,0.0,1.0
2019-01-01 22:00:00,197.0,85.55,21.1,841.68,1.09,2.27,134.68,155.63,0.0,1.0
2019-01-01 23:00:00,197.0,88.93,20.22,841.61,1.14,1.69,245.43,262.47,0.0,1.0
2019-01-02 00:00:00,197.0,94.6,18.68,841.01,1.37,1.71,286.63,274.83,0.0,5210.03
2019-01-02 01:00:00,197.0,95.39,17.94,840.27,1.18,1.46,286.67,287.7,0.0,2605.52
2019-01-02 02:00:00,197.0,97.31,17.18,839.99,1.28,1.52,322.78,318.4,0.0,2605.52
2019-01-02 03:00:00,197.0,98.69,16.86,840.06,1.36,1.63,321.08,326.1,0.0,1.0
2019-01-02 04:00:00,197.0,99.38,16.35,840.41,1.54,1.78,318.15,300.87,0.0,25841.03
2019-01-02 05:00:00,197.0,100.0,15.82,840.91,1.3,1.48,345.25,340.0,0.0,25922.63
2019-01-02 06:00:00,197.0,99.92,15.56,841.6,1.26,1.48,330.75,325.73,0.0,141.25
2019-01-02 07:00:00,197.0,86.41,18.84,842.33,0.6,0.87,292.48,301.88,0.0,1.0
2019-01-02 08:00:00,197.0,74.58,21.57,842.64,0.76,1.37,239.67,228.62,0.0,1.0
2019-01-02 09:00:00,197.0,66.53,22.94,842.34,1.14,2.14,207.85,223.47,0.0,1.0
2019-01-02 10:00:00,197.0,54.7,25.38,841.44,1.1,2.16,208.25,214.25,0.0,2605.52
2019-01-02 11:00:00,197.0,45.61,26.92,840.5,1.65,3.13,146.43,164.22,0.0,1.0
2019-01-02 12:00:00,197.0,35.03,28.77,839.47,1.77,3.43,144.35,158.52,0.0,1.0
2019-01-02 13:00:00,197.0,29.94,29.79,838.37,2.38,4.48,117.17,146.0,0.0,1.0
2019-01-02 14:00:00,197.0,25.76,30.52,837.78,3.21,5.74,161.3,175.53,0.0,1.0
2019-01-02 15:00:00,197.0,25.34,30.34,837.64,3.17,5.84,156.33,185.03,0.0,1.0
2019-01-02 16:00:00,197.0,29.41,29.68,837.85,2.33,4.19,157.97,192.4,0.0,1.0
