fecha_hora,codigo,h,t,pr,vv,vv_max,dv,dv_max,p,calidad
2019-01-01 00:00:00,105.0,69.25,16.32,824.04,2.98,4.57,306.58,203.07,0.0,1.0
2019-01-01 01:00:00,105.0,73.7,15.63,823.45,1.95,3.05,187.45,109.85,0.0,1.0
2019-01-01 02:00:00,105.0,76.6,14.3,823.12,0.97,1.5,92.97,92.77,0.0,1.0
2019-01-01 03:00:00,105.0,79.77,13.18,823.1,1.1,1.67,98.6,98.13,0.0,1.0
2019-01-01 04:00:00,105.0,81.38,12.61,823.63,0.96,1.44,104.78,106.77,0.0,1.0
2019-01-01 05:00:00,105.0,82.84,12.18,824.03,0.92,1.3,103.93,104.83,0.0,1.0
2019-01-01 06:00:00,105.0,83.06,12.0,824.58,0.73,1.04,114.2,112.85,0.0,1.0
2019-01-01 07:00:00,105.0,73.28,14.59,824.88,1.03,1.7,168.57,134.78,0.0,1.0
2019-01-01 08:00:00,105.0,59.96,18.2,824.85,2.96,4.9,331.22,259.58,0.0,1.0
2019-01-01 09:00:00,105.0,47.31,21.01,824.51,3.32,5.35,342.58,289.23,0.0,1.0
2019-01-01 10:00:00,105.0,39.0,23.52,824.0,2.59,4.36,310.25,262.02,0.0,1.0
2019-01-01 11:00:00,105.0,32.43,25.64,823.0,2.55,4.44,249.8,233.98,0.0,1.0
2019-01-01 12:00:00,105.0,22.54,28.27,821.91,2.77,5.02,106.18,118.97,0.0,1.0
2019-01-01 13:00:00,105.0,22.6,28.71,820.97,2.86,5.11,131.15,128.57,0.0,1.0
2019-01-01 14:00:00,105.0,24.82,28.58,820.5,1.88,3.34,163.5,166.58,0.0,1.0
2019-01-01 15:00:00,105.0,24.64,28.16,820.33,1.87,3.72,148.7,138.85,0.0,1.0
2019-01-01 16:00:00,105.0,23.45,27.86,820.58,2.47,4.52,161.63,166.67,0.0,1.0
2019-01-01 17:00:00,105.0,24.76,26.78,821.1,1.91,3.74,155.98,162.48,0.0,1.0
2019-01-01 18:00:00,105.0,37.21,23.16,821.83,1.64,2.57,250.65,194.62,0.0,1.0
2019-01-01 19:00:00,105.0,50.84,21.45,822.84,2.35,3.82,231.47,202.95,0.0,1.0
2019-01-01 20:00:00,105.0,59.39,20.38,823.76,1.6,2.76,126.57,130.52,0.0,1.0
2019-01-01 21:00:00,105.0,66.84,19.61,824.36,1.6,2.91,102.3,112.88,0.0,1.0
2019-01-01 22:00:00,105.0,72.91,18.63,824.58,1.51,2.76,97.05,136.82,0.0,1.0
2019-01-01 23:00:00,105.0,74.98,18.24,824.48,1.46,2.65,92.47,108.9,0.0,1.0
2019-01-02 00:00:00,105.0,78.11,17.64,823.92,1.52,2.86,106.85,115.18,0.0,1.0
2019-01-02 01:00:00,105.0,80.29,16.91,823.3,1.43,2.31,228.08,178.47,0.0,1.0
2019-01-02 02:00:00,105.0,79.48,15.0,822.99,1.06,1.48,110.63,112.73,0.0,1.0
