fecha_hora,codigo,h,t,pr,vv,vv_max,dv,dv_max,p,calidad
2019-01-01 00:00:00,68.0,61.84,19.73,849.58,2.18,3.95,215.9,216.65,0.0,1.0
2019-01-01 01:00:00,68.0,63.21,19.19,849.12,1.14,1.79,171.48,170.03,0.0,1.0
2019-01-01 02:00:00,68.0,65.92,18.3,848.64,1.4,2.23,201.52,202.77,0.0,1.0
2019-01-01 03:00:00,68.0,65.84,18.1,848.67,1.26,2.01,210.73,208.98,0.0,1.0
2019-01-01 04:00:00,68.0,65.3,17.89,849.19,0.96,1.67,208.22,203.82,0.0,1.0
2019-01-01 05:00:00,68.0,68.1,17.41,849.72,0.61,0.9,148.8,145.78,0.0,1.0
2019-01-01 06:00:00,68.0,69.36,17.13,850.3,0.55,0.8,154.42,150.6,0.0,1.0
2019-01-01 07:00:00,68.0,62.0,18.4,850.74,0.48,0.76,183.45,183.5,0.0,1.0
2019-01-01 08:00:00,68.0,50.29,21.07,850.73,0.59,1.22,149.92,142.3,0.0,1.0
2019-01-01 09:00:00,68.0,42.98,23.55,850.22,0.81,1.61,161.88,165.8,0.0,1.0
2019-01-01 10:00:00,68.0,31.36,26.57,849.29,2.06,3.42,185.87,186.8,0.0,1.0
2019-01-01 11:00:00,68.0,24.97,28.98,848.08,1.69,3.06,183.5,181.27,0.0,1.0
2019-01-01 12:00:00,68.0,20.01,30.72,847.0,2.4,4.46,222.7,211.92,0.0,1.0
2019-01-01 13:00:00,68.0,18.89,31.02,846.07,2.46,5.04,234.52,246.77,0.0,1.0
2019-01-01 14:00:00,68.0,19.48,30.77,845.52,2.43,4.58,149.47,159.78,0.0,1.0
2019-01-01 15:00:00,68.0,20.47,31.07,845.41,1.57,3.22,159.55,148.87,0.0,1.0
2019-01-01 16:00:00,68.0,21.96,30.63,845.52,2.17,3.83,117.52,147.18,0.0,1.0
2019-01-01 17:00:00,68.0,27.48,28.9,846.16,2.48,4.39,178.75,186.87,0.0,1.0
2019-01-01 18:00:00,68.0,45.49,25.66,847.03,4.07,6.99,208.33,211.07,0.0,1.0
2019-01-01 19:00:00,68.0,49.79,24.57,848.26,3.2,5.29,234.07,236.03,0.0,1.0
2019-01-01 20:00:00,68.0,57.52,23.13,849.3,1.81,3.19,196.13,183.48,0.0,1.0
2019-01-01 21:00:00,68.0,58.24,22.54,849.88,2.93,4.74,217.33,218.38,0.0,1.0
2019-01-01 22:00:00,68.0,63.93,21.63,850.12,2.98,4.78,202.93,208.0,0.0,1.0
2019-01-01 23:00:00,68.0,67.04,20.83,849.93,3.15,5.42,202.78,205.58,0.0,1.0
2019-01-02 00:00:00,68.0,68.5,20.32,849.46,2.26,3.68,192.02,193.78,0.0,1.0
2019-01-02 01:00:00,68.0,71.71,19.33,848.79,1.82,3.13,210.35,214.27,0.0,1.0
2019-01-02 02:00:00,68.0,69.05,18.99,848.51,1.88,3.01,227.32,230.03,0.0,1.0
2019-01-02 03:00:00,68.0,69.8,18.49,848.56,1.17,1.96,189.72,190.97,0.0,1.0
2019-01-02 04:00:00,68.0,70.41,18.23,848.98,0.71,1.08,171.23,166.37,0.0,1.0
2019-01-02 05:00:00,68.0,67.93,17.9,849.51,0.68,1.01,128.77,128.17,0.0,1.0
